City,Country,Date,Lat,Lng,Max Temperature,Humidity,Cloudiness,Wind Speed
Mar del Plata,AR,1605322800,-38.0023,-57.5575,63.75,90,49,13.85
Butaritari,KI,1605322800,3.0707,172.7902,81.68,67,69,8.7
Flinders,AU,1605322800,-34.5833,150.8552,74.25,57,0,7.29
Qaanaaq,GL,1605322800,77.484,-69.3632,1.69,76,71,5.99
Port Elizabeth,ZA,1605322800,-33.918,25.5701,64.44,82,0,12.8
Busselton,AU,1605322800,-33.65,115.3333,65.53,75,54,18.1
Norman Wells,CA,1605322800,65.282,-126.8329,-1.84,84,87,4.21
Kaitangata,NZ,1605322800,-46.2817,169.8464,69.12,42,96,4.99
Chokurdakh,RU,1605322800,70.6333,147.9167,-16.28,89,32,4.21
Cape Town,ZA,1605322800,-33.9258,18.4232,60.57,79,69,3.47
Chippewa Falls,US,1605322800,44.9369,-91.3929,29.57,74,49,10.98
Katsuura,JP,1605322800,35.1333,140.3,64.17,52,0,9.06
Hermanus,ZA,1605322800,-34.4187,19.2345,60.42,82,85,8.46
Avarua,CK,1605322800,-21.2078,-159.775,77.18,76,38,15.86
Severo-Kuril'sk,RU,1605322800,50.6789,156.125,43.61,91,100,15.93
Kinablangan,PH,1605322800,7.6947,126.5503,85.73,68,87,6.73
Torbay,CA,1605322800,47.6666,-52.7314,36.57,78,87,7.85
Boralday,KZ,1605322800,43.3578,76.8594,33.67,87,95,1.79
Mandalgovi,MN,1605322800,45.7625,106.2708,35.56,71,0,8.05
Rikitea,PF,1605322800,-23.1203,-134.9692,75.78,79,36,11.97
Ushuaia,AR,1605322800,-54.8,-68.3,40.12,83,60,3.78
Punta Arenas,CL,1605322800,-53.15,-70.9167,39.63,84,47,16.58
Jamestown,US,1605322800,42.097,-79.2353,40.14,84,81,7.92
Brookings,US,1605322800,44.3114,-96.7984,31.84,84,1,18.25
Kedrovyy,RU,1605322800,56.1667,91.8167,20.57,94,44,5.64
Riyadh,SA,1605322800,24.6877,46.7219,60.89,75,0,6.35
Caravelas,BR,1605322800,-17.7125,-39.2481,75.27,83,56,9.62
Albany,US,1605322800,42.6001,-73.9662,40.55,86,51,5.03
Pahrump,US,1605322800,36.2083,-115.9839,57.33,27,23,10.51
Carnarvon,AU,1605322800,-24.8667,113.6333,73.99,80,82,13.15
Saint George,US,1605322800,37.1041,-113.5841,53.17,33,24,0.94
Bredasdorp,ZA,1605322800,-34.5322,20.0403,56.37,92,19,5.19
Port Hardy,CA,1605322800,50.6996,-127.4199,41.29,84,75,8.23
Hobart,AU,1605322800,-42.8794,147.3294,65.53,43,72,5.88
Castro,BR,1605322800,-24.7911,-50.0119,62.94,90,36,3.94
Dakar,SN,1605322800,14.6937,-17.4441,81.91,51,0,11.79
Alberton,CA,1605322800,46.8168,-64.0654,41.25,77,100,11.92
Saint-Philippe,RE,1605322800,-21.3585,55.7679,75.81,70,44,3.04
Saldanha,ZA,1605322800,-33.0117,17.9442,60.85,77,7,4.92
Ilulissat,GL,1605322800,69.2167,-51.1,16.39,69,99,7.16
Buala,SB,1605322800,-8.145,159.5921,86.54,66,25,3.56
Hamilton,US,1605322800,39.1834,-84.5333,41.52,66,17,4.23
Fortuna,US,1605322800,40.5982,-124.1573,49.06,92,74,3.22
George Town,MY,1605322800,5.4112,100.3354,82.27,84,48,2.71
Husavik,IS,1605322800,66.0449,-17.3389,33.89,91,85,11.07
La Primavera,CO,1605322800,5.4906,-70.4092,77.14,90,98,4.18
Tasiilaq,GL,1605322800,65.6145,-37.6368,16.45,64,60,5.57
Paraná,AR,1605322800,-31.732,-60.5238,75.78,47,51,9.93
Santa María del Oro,MX,1605322800,25.9333,-105.3667,65.28,31,32,7.47
Los Llanos de Aridane,ES,1605322800,28.6585,-17.9182,69.26,83,31,13.33
Hithadhoo,MV,1605322800,-0.6,73.0833,82.92,79,98,18.9
Hilo,US,1605322800,19.7297,-155.09,76.42,65,20,6.2
Hay River,CA,1605322800,60.8156,-115.7999,8.64,90,100,8.37
Namatanai,PG,1605322800,-3.6667,152.4333,85.21,70,48,7.4
La Ronge,CA,1605322800,55.1001,-105.2842,16.2,94,100,4.9
Hong Kong,HK,1605322800,22.2855,114.1577,73.85,58,94,13.82
Cabo San Lucas,MX,1605322800,22.8909,-109.9124,73.62,63,45,8.63
Mataura,NZ,1605322800,-46.1927,168.8643,70.84,44,98,12.82
Porto Franco,BR,1605322800,-6.3383,-47.3992,80.28,63,22,3.31
Nelson,NZ,1605322800,-41.2833,173.2833,71.11,43,0,3.96
Katobu,ID,1605322800,-4.9408,122.5276,91.54,57,14,3.96
Thompson,CA,1605322800,55.7435,-97.8558,19.69,98,95,6.62
Raja,SS,1605322800,8.4596,25.678,71.76,32,0,4.61
Bima,ID,1605322800,-8.4667,118.7167,97.75,49,1,2.98
Kapaa,US,1605322800,22.0752,-159.319,78.28,75,46,15.37
Makakilo City,US,1605322800,21.3469,-158.0858,80.4,60,38,19.35
Strelka,RU,1605322800,58.0728,93.0344,21.83,96,96,4.94
Zhalantun,CN,1605322800,48.0,122.7167,39.33,70,0,1.03
Bluff,NZ,1605322800,-46.6,168.3333,66.76,53,98,17.31
New Norfolk,AU,1605322800,-42.7826,147.0587,66.34,57,78,9.04
Atuona,PF,1605322800,-9.8,-139.0333,77.65,77,51,16.24
Quatre Cocos,MU,1605322800,-20.2078,57.7625,76.59,88,22,3.98
Tūkrah,LY,1605322800,32.5341,20.5791,63.75,74,8,2.55
Benguela,AO,1605322800,-12.5763,13.4055,75.67,80,81,3.69
Gwadar,PK,1605322800,25.1216,62.3254,73.2,61,0,7.29
Kahului,US,1605322800,20.8947,-156.47,78.6,58,30,13.29
Puerto Ayora,EC,1605322800,-0.7393,-90.3518,68.74,85,75,10.4
Havelock,US,1605322800,34.8791,-76.9013,59.77,83,10,4.65
Nikolskoye,RU,1605322800,59.7035,30.7861,32.61,91,42,4.72
Yellowknife,CA,1605322800,62.456,-114.3525,0.27,82,57,9.86
Port Blair,IN,1605322800,11.6667,92.75,83.8,80,76,17.69
Bintulu,MY,1605322800,3.1667,113.0333,83.97,83,68,3.13
Bam,IR,1605322800,29.106,58.357,52.86,74,93,11.3
Taoudenni,ML,1605322800,22.6783,-3.9836,73.35,21,65,12.93
Narsaq,GL,1605322800,60.9167,-46.05,22.23,74,100,1.36
Khatanga,RU,1605322800,71.9667,102.5,-15.68,89,97,7.78
Ancud,CL,1605322800,-41.8697,-73.8203,49.32,80,44,7.14
San Patricio,US,1605322800,28.017,-97.5169,74.64,84,10,8.32
São Filipe,CV,1605322800,14.8961,-24.4956,80.4,66,59,4.29
Hirara,JP,1605322800,24.8,125.2833,74.23,70,87,18.63
Port-Gentil,GA,1605322800,-0.7193,8.7815,77.52,87,98,8.16
Homer,US,1605322800,59.6425,-151.5483,35.29,75,90,6.64
Yangi Marg`ilon,UZ,1605322800,40.4272,71.7189,46.53,76,87,1.92
Myre,NO,1605322800,69.1036,15.9492,42.82,74,41,12.35
Yulara,AU,1605322800,-25.2406,130.9889,105.53,7,0,16.6
Ponoka,CA,1605322800,52.6768,-113.5815,21.96,84,87,7.34
Bhadrāchalam,IN,1605322800,17.6667,80.8833,76.93,79,1,2.33
Barrow,US,1605322800,71.2906,-156.7887,19.02,85,84,12.95
Lompoc,US,1605322800,34.6391,-120.4579,53.82,77,1,6.44
Avera,US,1605322800,33.194,-82.5271,60.67,56,1,6.69
Zhezkazgan,KZ,1605322800,47.8043,67.7144,26.33,93,100,15.17
Vao,NC,1605322800,-22.6667,167.4833,74.97,82,26,9.69
Vaini,TO,1605322800,-21.2,-175.2,79.99,77,70,11.77
Caconda,AO,1605322800,-13.7333,15.0667,61.02,97,100,2.06
Zhuanghe,CN,1605322800,39.7008,122.9911,51.24,49,62,5.17
Palauig,PH,1605322800,15.435,119.9045,86.52,66,55,2.64
Lebu,CL,1605322800,-37.6167,-73.65,51.73,89,9,9.06
Provideniya,RU,1605322800,64.3833,-173.3,20.61,90,27,9.44
Fairbanks,US,1605322800,64.8378,-147.7164,12.74,94,86,2.15
Pisco,PE,1605322800,-13.7,-76.2167,63.3,85,9,2.55
Mukō,JP,1605322800,34.9654,135.7041,63.77,45,10,8.14
Saint Paul Harbor,US,1605322800,57.79,-152.4072,36.57,63,10,19.51
North Bend,US,1605322800,43.4065,-124.2243,50.58,76,40,10.69
Turukhansk,RU,1605322800,65.8167,87.9833,-15.84,89,88,2.8
Kupang,ID,1605322800,-10.1667,123.5833,89.83,56,10,4.9
Kismayo,SO,1605322800,-0.3582,42.5454,78.94,78,0,7.25
Naze,JP,1605322800,28.3667,129.4833,74.17,79,40,14.97
Kaniama,CD,1605322800,-7.5667,24.1833,66.36,98,100,4.03
Yinchuan,CN,1605322800,38.4681,106.2731,52.18,65,1,3.67
Upernavik,GL,1605322800,72.7868,-56.1549,16.93,94,100,11.16
Cayenne,GF,1605322800,4.9333,-52.3333,79.86,91,95,9.82
Usta Muhammad,PK,1605322800,28.1794,68.0445,71.06,26,38,4.59
Monster,NL,1605322800,52.0258,4.175,52.54,87,100,10.47
Bethel,US,1605322800,41.3712,-73.414,40.96,92,26,5.66
Ahipara,NZ,1605322800,-35.1667,173.1667,66.92,55,0,6.31
Khovd,MN,1605322800,48.0056,91.6419,34.77,72,38,5.32
Saint Anthony,US,1605322800,45.0205,-93.218,31.89,80,33,12.68
Dom Pedrito,BR,1605322800,-30.9828,-54.6731,63.64,89,17,6.13
Ribeira Grande,PT,1605322800,38.5167,-28.7,66.16,89,92,12.8
Kavieng,PG,1605322800,-2.5744,150.7967,84.49,76,41,11.16
Cidreira,BR,1605322800,-30.1811,-50.2056,69.69,92,3,11.39
Kalur Kot,PK,1605322800,32.1564,71.2594,66.67,38,77,10.16
Bereket,TM,1605322800,39.2446,55.5154,41.31,64,1,2.46
Lavrentiya,RU,1605322800,65.5833,-171.0,24.19,93,76,15.28
Mae Chan,TH,1605322800,20.1467,99.8526,77.63,67,0,4.32
Astoria,US,1605322800,46.1879,-123.8313,47.97,67,50,22.32
Mayo,US,1605322800,38.8876,-76.5119,51.35,63,1,11.5
Lloydminster,CA,1605322800,53.2835,-110.0016,18.46,91,95,6.24
Pachuca,MX,1605322800,20.117,-98.7333,56.17,72,0,3.06
Tadine,NC,1605322800,-21.55,167.8833,78.51,71,58,4.74
Kyotera,UG,1605322800,-0.6156,31.5175,66.54,83,84,2.77
Tuktoyaktuk,CA,1605322800,69.4541,-133.0374,-3.75,88,80,13.0
East London,ZA,1605322800,-33.0153,27.9116,69.69,77,4,12.35
Betsiamites,CA,1605322800,48.9413,-68.646,36.05,79,95,9.17
Petropavlovsk-Kamchatskiy,RU,1605322800,53.0452,158.6483,35.85,78,86,4.45
Tual,ID,1605322800,-5.6667,132.75,84.63,75,25,8.39
Puerto Maldonado,PE,1605322800,-12.6,-69.1833,80.51,73,91,2.86
Formosa,AR,1605322800,-26.1775,-58.1781,76.77,53,0,4.41
São Félix do Xingu,BR,1605322800,-6.6447,-51.995,76.77,78,65,1.5
Cascais,PT,1605322800,38.6979,-9.4215,63.18,94,97,12.71
Shache,CN,1605322800,38.4167,77.2406,41.83,57,73,5.28
Garoowe,SO,1605322800,8.4054,48.4845,71.26,71,33,8.19
Wajir,KE,1605322800,1.7471,40.0573,76.6,81,2,9.84
Djougou,BJ,1605322800,9.7085,1.666,72.63,39,0,5.48
Ust-Maya,RU,1605322800,60.4167,134.5333,16.77,96,93,5.64
Luwuk,ID,1605322800,-0.9516,122.7875,88.0,58,26,3.67
Vila Franca do Campo,PT,1605322800,37.7167,-25.4333,61.79,87,57,4.16
Stokmarknes,NO,1605322800,68.5646,14.9108,39.18,71,25,10.54
Krasnosel'kup,RU,1605322800,65.7,82.4667,-15.39,89,18,4.43
Safi,MA,1605322800,32.2994,-9.2372,66.6,74,91,4.63
Payo,ID,1605322800,-3.7508,103.6372,90.66,74,96,1.79
Acajutla,SV,1605322800,13.5928,-89.8275,78.3,88,14,7.0
Kinlochleven,GB,1605322800,56.7115,-4.9661,45.14,90,95,4.47
Fairmont,US,1605322800,39.4851,-80.1426,42.53,84,2,3.6
Sistranda,NO,1605322800,63.7256,8.834,47.75,63,39,11.12
Ponta do Sol,PT,1605322800,32.6667,-17.1,69.12,83,87,10.6
Requena,ES,1605322800,39.4883,-1.1004,49.48,91,95,0.87
Biak,ID,1605322800,-0.9131,122.8766,86.56,62,21,3.06
Matamoros,MX,1605322800,25.5333,-103.25,72.57,25,3,1.43
Forsytheganj,BY,1605322800,52.6333,29.7333,37.29,94,100,8.93
Samarai,PG,1605322800,-10.6167,150.6667,81.61,68,3,8.68
Hofn,IS,1605322800,64.2539,-15.2082,41.11,68,89,12.66
Kruisfontein,ZA,1605322800,-34.0033,24.7314,62.13,67,4,10.94
Mahébourg,MU,1605322800,-20.4081,57.7,76.39,88,21,5.77
Port Alfred,ZA,1605322800,-33.5906,26.891,67.59,73,2,21.72
Matara,LK,1605322800,5.9485,80.5353,81.5,83,94,3.13
Aswān,EG,1605322800,24.0934,32.907,63.84,41,0,6.87
Puerto Escondido,MX,1605322800,15.85,-97.0667,81.72,72,50,3.69
Sfântu Gheorghe,RO,1605322800,45.8667,25.7833,38.05,82,69,1.1
Cherskiy,RU,1605322800,68.75,161.3,-8.34,88,100,6.69
Acapulco de Juárez,MX,1605322800,16.8634,-99.8901,80.76,77,23,4.54
Talnakh,RU,1605322800,69.4865,88.3972,-17.21,80,30,0.83
Lucea,JM,1605322800,18.451,-78.1736,81.01,81,33,12.3
Bwanga,TZ,1605322800,-3.0308,31.7601,62.6,93,42,0.85
Leshukonskoye,RU,1605322800,64.8989,45.7622,31.53,99,100,6.22
San Cristobal,VE,1605322800,7.7669,-72.225,68.41,91,100,0.34
Eureka,US,1605322800,40.8021,-124.1637,49.77,88,59,3.87
Harper,LR,1605322800,4.375,-7.7169,77.72,87,10,6.15
Bathsheba,BB,1605322800,13.2167,-59.5167,79.41,86,26,11.92
Ternate,ID,1605322800,0.8,127.4,85.51,69,43,1.68
Marshall,US,1605322800,34.3834,-86.3333,50.59,71,1,3.06
College,US,1605322800,64.8569,-147.8028,12.61,87,86,2.28
Cooma,AU,1605322800,-36.2333,149.1333,71.44,40,20,10.27
Yumen,CN,1605322800,40.2833,97.2,40.68,71,77,12.12
Itaueira,BR,1605322800,-7.6033,-43.0256,79.07,54,10,2.51
Klaksvík,FO,1605322800,62.2266,-6.589,47.82,77,57,30.71
Anderson,US,1605322800,34.5334,-82.6499,56.28,57,1,3.87
Arcata,US,1605322800,40.8665,-124.0828,48.85,88,56,2.21
Omboué,GA,1605322800,-1.5746,9.2618,74.01,89,96,3.85
Shestakovo,RU,1605322800,56.4915,103.96,20.16,95,88,3.24
Cam Ranh,VN,1605322800,11.9214,109.1591,83.19,67,59,5.06
Alyangula,AU,1605322800,-13.8483,136.4192,90.21,57,20,12.5
Tiksi,RU,1605322800,71.6872,128.8694,-5.46,92,98,2.89
Bambous Virieux,MU,1605322800,-20.3428,57.7575,76.48,88,22,5.26
Pilar,BR,1605322800,-9.5972,-35.9567,73.58,91,43,5.82
Tabou,CI,1605322800,4.423,-7.3528,78.06,87,25,6.53
Puerto Palomas,MX,1605322800,31.7667,-107.6167,60.73,35,17,7.94
Muros,ES,1605322800,42.7762,-9.0603,59.77,80,96,12.37
Saskylakh,RU,1605322800,71.9167,114.0833,-8.64,90,89,2.21
Broken Hill,AU,1605322800,-31.95,141.4333,83.08,21,0,9.13
Sosnovo-Ozerskoye,RU,1605322800,52.5249,111.5418,26.46,89,99,11.07
Nishihara,JP,1605322800,26.1842,127.7558,75.6,75,78,13.6
Marsh Harbour,BS,1605322800,26.5412,-77.0636,79.56,81,31,6.82
Måløy,NO,1605322800,61.9353,5.1136,47.21,82,96,22.19
Ginir,ET,1605322800,7.1333,40.7,54.36,67,53,5.53
Philadelphia,US,1605322800,39.9523,-75.1638,51.33,67,1,9.46
Kirksville,US,1605322800,40.1948,-92.5833,33.57,68,1,9.53
Bandundu Province,CD,1605322800,-3.3167,17.3667,70.95,97,100,7.43
Sept-Îles,CA,1605322800,50.2001,-66.3821,35.91,84,98,6.93
Sémbé,CG,1605322800,1.6481,14.5806,72.82,84,100,2.59
Assiniboia,CA,1605322800,49.6334,-105.9845,35.04,79,82,17.47
Rassvet,RU,1605322800,46.8333,40.75,30.9,87,3,7.76
Dikson,RU,1605322800,73.5069,80.5464,4.69,94,99,22.95
Vallenar,CL,1605322800,-28.5708,-70.7581,55.56,74,71,1.19
Dunedin,NZ,1605322800,-45.8742,170.5036,68.0,53,39,3.31
Sheikh Dannun,IL,1605322800,32.9943,35.1479,70.14,45,0,8.34
Srednekolymsk,RU,1605322800,67.45,153.6833,-5.42,88,100,1.5
Kaeo,NZ,1605322800,-35.1,173.7833,69.22,50,0,7.9
Cowra,AU,1605322800,-33.8333,148.6833,74.39,51,1,9.64
Makkah al Mukarramah,SA,1605322800,21.4267,39.8261,74.62,63,0,3.09
Helmsdale,GB,1605322800,58.1168,-3.6517,46.17,78,40,17.56
Hervey Bay,AU,1605322800,-25.2986,152.8535,80.92,62,38,20.36
Pascagoula,US,1605322800,30.3658,-88.5561,63.88,74,1,6.93
Ustynivka,UA,1605322800,47.9551,32.5367,39.7,70,49,3.51
Nioro,GM,1605322800,13.35,-15.75,73.76,25,0,1.34
Vung Tau,VN,1605322800,10.346,107.0843,79.05,80,86,3.58
Zaozhuang,CN,1605322800,34.8647,117.5542,62.37,73,55,10.22
Mexico,PH,1605322800,15.0646,120.7198,87.49,70,76,10.11
North Las Vegas,US,1605322800,36.1989,-115.1175,60.71,24,17,9.28
Grand Gaube,MU,1605322800,-20.0064,57.6608,76.98,84,3,5.39
Huarmey,PE,1605322800,-10.0681,-78.1522,63.7,84,73,8.43
São João da Barra,BR,1605322800,-21.6403,-41.0511,73.58,94,99,8.39
Rundu,NA,1605322800,-17.9333,19.7667,69.42,66,69,4.18
Kutum,SD,1605322800,14.2,24.6667,60.4,32,50,11.1
Bodden Town,KY,1605322800,19.2833,-81.25,82.85,81,25,17.4
Bengkulu,ID,1605322800,-3.8004,102.2655,86.02,74,86,1.7
Westport,US,1605322800,41.1415,-73.3579,46.53,80,1,9.55
Hasaki,JP,1605322800,35.7333,140.8333,61.92,49,0,14.2
Coyhaique,CL,1605322800,-45.5752,-72.0662,45.12,75,31,8.48
Leningradskiy,RU,1605322800,69.3833,178.4167,8.06,91,84,12.35
Vila Velha,BR,1605322800,-20.3297,-40.2925,74.93,87,59,12.46
Ippy,CF,1605322800,6.2679,21.2247,69.1,72,35,2.93
Orlik,RU,1605322800,52.5178,99.825,15.13,88,98,0.38
Tongchuanshi,CN,1605322800,35.0806,109.0897,54.52,54,0,6.31
Waipawa,NZ,1605322800,-41.4122,175.5153,63.16,61,0,19.95
Brae,GB,1605322800,60.3964,-1.353,48.69,72,45,23.96
Kaduqli,SD,1605322800,11.0167,29.7167,74.55,20,5,11.34
Batavia,US,1605322800,41.85,-88.3126,30.81,79,1,4.03
Brigantine,US,1605322800,39.4101,-74.3646,51.91,79,1,13.49
Toora-Khem,RU,1605322800,52.4675,96.11,18.46,89,46,1.43
Kununurra,AU,1605322800,-15.7667,128.7333,102.96,43,26,12.82
Torres,BR,1605322800,-29.3353,-49.7269,68.31,95,11,1.9
Idlib,SY,1605322800,35.9306,36.6339,56.43,80,49,3.2
Nouadhibou,MR,1605322800,20.931,-17.0347,74.75,47,42,11.99
Teya,RU,1605322800,60.3778,92.6267,12.18,94,93,3.76
Mahon,ES,1605322800,39.8885,4.2658,66.24,86,64,9.4
Geraldton,AU,1605322800,-28.7667,114.6,70.41,69,47,15.1
Mazamet,FR,1605322800,43.49,2.373,55.62,78,2,14.32
Codrington,AU,1605322800,-38.2667,141.9667,59.47,66,47,9.13
San Quintín,MX,1605322800,30.4833,-115.95,63.72,66,0,13.67
Mogzon,RU,1605322800,51.7435,111.9606,29.35,93,100,7.49
Sur,OM,1605322800,22.5667,59.5289,74.66,46,0,3.91
Aracati,BR,1605322800,-4.5617,-37.7697,81.23,72,1,13.4
Alta,NO,1605322800,69.9689,23.2717,36.34,83,48,20.8
